,IsWeekend,periode,nom_station,mode,Nb_personnes,geometry,lon,lat,,taux_occupation,geom_json,geom_json_2
0,False,1 - Avant 6h30,Boyer / Bélanger,Bixi,2.4210526315789473,POINT (-73.60897 45.54006),-73.60897,45.54006,,,,
1,False,1 - Avant 6h30,Boyer / Jean-Talon,Bixi,2.0,POINT (-73.612481 45.541586),-73.612481,45.541586,,,,
2,False,1 - Avant 6h30,Boyer / St-Zotique,Bixi,2.4210526315789473,POINT (-73.60556 45.53848),-73.60556,45.53848,,,,
3,False,1 - Avant 6h30,Boyer et des Carrières (P sur rue),Communauto,1.0,POINT (-73.595643 45.534547),-73.595643,45.534547,,,,
4,False,1 - Avant 6h30,Cartier et Rosemont,Communauto,1.0,POINT (-73.602456 45.536907),-73.602456,45.536907,,,,
5,False,1 - Avant 6h30,D'Iberville et Ontario,Communauto,4.0,POINT (-73.606767 45.537755),-73.606767,45.537755,,,,
6,False,1 - Avant 6h30,FLEX Montréal,Communauto,2.6666666666666665,POINT (-73.597711 45.533714),-73.597711,45.533714,,,,
7,False,1 - Avant 6h30,Laval et Roy (P sur rue),Communauto,1.0,POINT (-73.60852 45.536017),-73.60852,45.536017,,,,
8,False,1 - Avant 6h30,Lionel-Groulx et Vinet,Communauto,1.0,POINT (-73.595438 45.534786),-73.595438,45.534786,,,,
9,False,1 - Avant 6h30,Mont-Royal et De Bullion,Communauto,2.0,POINT (-73.596598 45.533106),-73.596598,45.533106,,,,
10,False,1 - Avant 6h30,Métro Beaubien (de Chateaubriand / Beaubien),Bixi,5.857142857142857,POINT (-73.603635 45.53536),-73.603635,45.53536,,,,
11,False,1 - Avant 6h30,Métro Jean-Talon,Communauto,1.0,POINT (-73.614243 45.538889),-73.614243,45.538889,,,,
12,False,1 - Avant 6h30,St-André et Rosemont (P sur rue),Communauto,1.0,POINT (-73.597807 45.534616),-73.597807,45.534616,,,,
13,False,1 - Avant 6h30,de Bellechasse / de St-Vallier,Bixi,2.066666666666667,POINT (-73.601124 45.53341),-73.601124,45.53341,,,,
14,False,1 - Avant 6h30,de St-Vallier / St-Zotique,Bixi,2.933333333333333,POINT (-73.607546 45.536261),-73.607546,45.536261,,,,
15,False,1 - Avant 6h30,Éthel et de l'Église,Communauto,1.0,POINT (-73.612247 45.540842),-73.612247,45.540842,,,,
16,False,2 - AM (6h30 à 9h30),12e Avenue et Laurier (P sur rue),Communauto,1.0,POINT (-73.606027 45.538174),-73.606027,45.538174,,,,
17,False,2 - AM (6h30 à 9h30),1re Avenue et Jean-Talon,Communauto,1.0,POINT (-73.605203 45.539084),-73.605203,45.539084,,,,
18,False,2 - AM (6h30 à 9h30),21e Avenue et Beaubien,Communauto,1.0,POINT (-73.61069 45.539569),-73.61069,45.539569,,,,
19,False,2 - AM (6h30 à 9h30),21e Avenue et Rosemont,Communauto,1.0,POINT (-73.601353 45.537439),-73.601353,45.537439,,,,
20,False,2 - AM (6h30 à 9h30),"5800, St-Denis",Communauto,1.0,POINT (-73.595517 45.534726),-73.595517,45.534726,,,,
21,False,2 - AM (6h30 à 9h30),6e Avenue et de Bellechasse,Communauto,1.0,POINT (-73.595433 45.534796),-73.595433,45.534796,,,,
22,False,2 - AM (6h30 à 9h30),Alma et Mozart (P sur rue),Communauto,1.5,POINT (-73.61066 45.539569),-73.61066,45.539569,,,,
23,False,2 - AM (6h30 à 9h30),Aréna St-Louis,Communauto,1.0,POINT (-73.597333 45.534931),-73.597333,45.534931,,,,
24,False,2 - AM (6h30 à 9h30),Beaudry et Robin,Communauto,1.0,POINT (-73.602697 45.536466),-73.602697,45.536466,,,,
25,False,2 - AM (6h30 à 9h30),Bernard et de L'Épée,Communauto,1.0,POINT (-73.608138 45.538496),-73.608138,45.538496,,,,
26,False,2 - AM (6h30 à 9h30),Boyer / Bélanger,Bixi,6.095238095238095,POINT (-73.60897 45.54006),-73.60897,45.54006,,,,
27,False,2 - AM (6h30 à 9h30),Boyer / Jean-Talon,Bixi,5.904761904761905,POINT (-73.612481 45.541586),-73.612481,45.541586,,,,
28,False,2 - AM (6h30 à 9h30),Boyer / St-Zotique,Bixi,4.285714285714286,POINT (-73.60556 45.53848),-73.60556,45.53848,,,,
29,False,2 - AM (6h30 à 9h30),Boyer et St-Zotique,Communauto,1.25,POINT (-73.605487 45.536204),-73.605487,45.536204,,,,
30,False,2 - AM (6h30 à 9h30),Boyer et des Carrières (P sur rue),Communauto,1.0,POINT (-73.597573 45.534407),-73.597573,45.534407,,,,
31,False,2 - AM (6h30 à 9h30),Cartier et Rosemont,Communauto,1.0,POINT (-73.59674 45.532465),-73.59674,45.532465,,,,
32,False,2 - AM (6h30 à 9h30),Chambord et Fleury,Communauto,1.0,POINT (-73.604125 45.536059),-73.604125,45.536059,,,,
33,False,2 - AM (6h30 à 9h30),Christophe-Colomb et St-Joseph (P sur rue),Communauto,1.5,POINT (-73.598386 45.53531),-73.598386,45.53531,,,,
34,False,2 - AM (6h30 à 9h30),D'Outremont et Jarry (P sur rue),Communauto,1.0,POINT (-73.596646 45.535146),-73.596646,45.535146,,,,
35,False,2 - AM (6h30 à 9h30),De Chateaubriand et Beaubien,Communauto,1.9166666666666667,POINT (-73.60448 45.535726),-73.60448,45.535726,,,,
36,False,2 - AM (6h30 à 9h30),De Chateaubriand et Mistral,Communauto,2.0,POINT (-73.609805 45.536717),-73.609805,45.536717,,,,
37,False,2 - AM (6h30 à 9h30),De Chateaubriand et Rosemont,Communauto,1.0,POINT (-73.595971 45.53393),-73.595971,45.53393,,,,
38,False,2 - AM (6h30 à 9h30),De Lévis et Notre-Dame,Communauto,1.0,POINT (-73.609505 45.539049),-73.609505,45.539049,,,,
39,False,2 - AM (6h30 à 9h30),De l'Esplanade et Beaubien,Communauto,1.0,POINT (-73.59765 45.535076),-73.59765,45.535076,,,,
40,False,2 - AM (6h30 à 9h30),Des Carrières et St-Denis (P sur rue),Communauto,1.0,POINT (-73.595451 45.534782),-73.595451,45.534782,,,,
41,False,2 - AM (6h30 à 9h30),Des Érables et Mont-Royal,Communauto,3.0,POINT (-73.608211 45.535941),-73.608211,45.535941,,,,
42,False,2 - AM (6h30 à 9h30),Drolet et Beaubien,Communauto,1.0,POINT (-73.608763 45.535947),-73.608763,45.535947,,,,
43,False,2 - AM (6h30 à 9h30),Drolet et Marie-Anne,Communauto,1.6666666666666667,POINT (-73.609923 45.536746),-73.609923,45.536746,,,,
44,False,2 - AM (6h30 à 9h30),Durocher et Saint-Roch (P sur rue),Communauto,1.0,POINT (-73.598801 45.532326),-73.598801,45.532326,,,,
45,False,2 - AM (6h30 à 9h30),Dézéry et Hochelaga,Communauto,1.0,POINT (-73.61357 45.540809),-73.61357,45.540809,,,,
46,False,2 - AM (6h30 à 9h30),FLEX Montréal,Communauto,12.136363636363637,POINT (-73.611943 45.539177),-73.611943,45.539177,,,,
47,False,2 - AM (6h30 à 9h30),Fullum et Larivière,Communauto,1.0,POINT (-73.603988 45.534967),-73.603988,45.534967,,,,
48,False,2 - AM (6h30 à 9h30),Garnier,Communauto,1.0,POINT (-73.597245 45.534837),-73.597245,45.534837,,,,
49,False,2 - AM (6h30 à 9h30),Jarry et Boyer,Communauto,1.0,POINT (-73.609833 45.536719),-73.609833,45.536719,,,,
50,False,2 - AM (6h30 à 9h30),Laprairie et Centre,Communauto,3.0,POINT (-73.614832 45.539106),-73.614832,45.539106,,,,
51,False,2 - AM (6h30 à 9h30),Laurier et Durocher,Communauto,1.0,POINT (-73.598247 45.533989),-73.598247,45.533989,,,,
52,False,2 - AM (6h30 à 9h30),Laurier et St-Urbain,Communauto,1.0,POINT (-73.613373 45.540854),-73.613373,45.540854,,,,
53,False,2 - AM (6h30 à 9h30),Marché Maisonneuve,Communauto,1.0,POINT (-73.597718 45.535016),-73.597718,45.535016,,,,
54,False,2 - AM (6h30 à 9h30),Masson et De Lorimier,Communauto,1.0,POINT (-73.605405 45.535246),-73.605405,45.535246,,,,
55,False,2 - AM (6h30 à 9h30),Métro Beaubien (de Chateaubriand / Beaubien),Bixi,11.571428571428571,POINT (-73.603635 45.53536),-73.603635,45.53536,,,,
56,False,2 - AM (6h30 à 9h30),Parc Grovehill,Communauto,1.5,POINT (-73.608563 45.539257),-73.608563,45.539257,,,,
57,False,2 - AM (6h30 à 9h30),Parc Père-Marquette,Communauto,1.0,POINT (-73.59556 45.534657),-73.59556,45.534657,,,,
58,False,2 - AM (6h30 à 9h30),Rosemont et Christophe-Colomb,Communauto,1.25,POINT (-73.595515 45.534634),-73.595515,45.534634,,,,
59,False,2 - AM (6h30 à 9h30),Rosemont et de la Roche,Communauto,1.0,POINT (-73.597713 45.534479),-73.597713,45.534479,,,,
60,False,2 - AM (6h30 à 9h30),Saint-Julien et De Charleroi,Communauto,1.0,POINT (-73.610472 45.540702),-73.610472,45.540702,,,,
61,False,2 - AM (6h30 à 9h30),St-André et Bélanger,Communauto,1.0,POINT (-73.608865 45.539331),-73.608865,45.539331,,,,
62,False,2 - AM (6h30 à 9h30),St-André et Rosemont (P sur rue),Communauto,1.5,POINT (-73.597802 45.534589),-73.597802,45.534589,,,,
63,False,2 - AM (6h30 à 9h30),St-Denis et St-Zotique,Communauto,1.3333333333333333,POINT (-73.609828 45.536759),-73.609828,45.536759,,,,
64,False,2 - AM (6h30 à 9h30),St-Gérard et Jarry,Communauto,2.0,POINT (-73.609537 45.539691),-73.609537,45.539691,,,,
65,False,2 - AM (6h30 à 9h30),St-Hubert et Duluth (P sur rue),Communauto,1.0,POINT (-73.611712 45.542091),-73.611712,45.542091,,,,
66,False,2 - AM (6h30 à 9h30),St-Joseph O. et Jeanne-Mance,Communauto,1.5,POINT (-73.60191 45.535622),-73.60191,45.535622,,,,
67,False,2 - AM (6h30 à 9h30),St-Laurent et Jean-Talon,Communauto,1.0,POINT (-73.597323 45.534867),-73.597323,45.534867,,,,
68,False,2 - AM (6h30 à 9h30),St-Vallier et Beaubien,Communauto,1.0,POINT (-73.605583 45.535796),-73.605583,45.535796,,,,
69,False,2 - AM (6h30 à 9h30),Vincent-D'Indy et Côte-Ste-Catherine,Communauto,3.0,POINT (-73.59556 45.534801),-73.59556,45.534801,,,,
70,False,2 - AM (6h30 à 9h30),de Bellechasse / de St-Vallier,Bixi,7.8,POINT (-73.601124 45.53341),-73.601124,45.53341,,,,
71,False,2 - AM (6h30 à 9h30),de St-Vallier / St-Zotique,Bixi,4.0,POINT (-73.607546 45.536261),-73.607546,45.536261,,,,
72,False,3 - Jour (9h30 à 15h30),"10526, Boulevard de l'Acadie",Communauto,1.0,POINT (-73.607301 45.538067),-73.607301,45.538067,,,,
73,False,3 - Jour (9h30 à 15h30),12e Avenue et Laurier (P sur rue),Communauto,1.5,POINT (-73.609048 45.53879),-73.609048,45.53879,,,,
74,False,3 - Jour (9h30 à 15h30),18e Avenue et Dandurand,Communauto,2.0,POINT (-73.609037 45.538722),-73.609037,45.538722,,,,
75,False,3 - Jour (9h30 à 15h30),1re Avenue et Jean-Talon,Communauto,1.0,POINT (-73.605578 45.536281),-73.605578,45.536281,,,,
76,False,3 - Jour (9h30 à 15h30),21e Avenue et Rosemont,Communauto,2.0,POINT (-73.61265 45.538599),-73.61265,45.538599,,,,
77,False,3 - Jour (9h30 à 15h30),"5800, St-Denis",Communauto,2.0,POINT (-73.598177 45.534669),-73.598177,45.534669,,,,
78,False,3 - Jour (9h30 à 15h30),5e Avenue et Édouard,Communauto,1.0,POINT (-73.608753 45.539206),-73.608753,45.539206,,,,
79,False,3 - Jour (9h30 à 15h30),6e Avenue,Communauto,1.5,POINT (-73.596253 45.533071),-73.596253,45.533071,,,,
80,False,3 - Jour (9h30 à 15h30),6e Avenue et de Bellechasse,Communauto,1.0,POINT (-73.607288 45.538012),-73.607288,45.538012,,,,
81,False,3 - Jour (9h30 à 15h30),"7000, avenue du Parc",Communauto,2.0,POINT (-73.608293 45.538494),-73.608293,45.538494,,,,
